_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
1,A Y Jackson S.S.,1027,89.0,1.1,96.5,1.1,43.8052613,-79.36655529
2,Academie Alexandre-Dumas,129,86.8,1.6,89.1,1.6,43.76241881,-79.17976522
3,Adam Beck Jr P.S.,309,96.1,3.6,95.8,3.6,43.6831518,-79.28848789
4,Africentric Alternative School,77,71.4,20.8,72.7,20.8,43.74542436,-79.48826066
5,Agincourt C.I.,1241,87.3,1.0,98.1,1.0,43.78887384,-79.27890996
6,Agincourt Jr P.S.,141,99.3,0.0,98.6,0.0,43.78840559,-79.28117156
7,Agnes MacPhail P.S.,207,94.7,0.0,96.6,0.0,43.81926898,-79.27855339
8,Albert Campbell C.I.,1072,88.2,0.4,96.8,0.4,43.80901422,-79.27340657
9,Albion Heights JMS,294,93.9,0.7,97.3,1.0,43.73138826,-79.59431550000001
10,Alexander Muir/Gladstone Ave Jr & Sr P.S.,324,90.7,1.9,94.4,1.9,43.64602125,-79.42884725
11,Alexander Stirling P.S.,261,92.7,0.8,93.5,0.8,43.81165633,-79.20760594
12,Alexmuir Jr P.S.,226,96.9,0.4,98.2,0.4,43.80910932,-79.28561349
13,All Saints C.S.,643,87.4,3.3,91.0,3.3,43.68561792,-79.52716293
14,Allenby Jr P.S.,524,95.8,2.5,96.6,2.5,43.70943564,-79.41278773
15,Alpha Alternative Jr School,49,75.5,22.4,77.6,22.4,43.64572203,-79.39822258
16,Alpha II Alternative School,19,52.6,15.8,68.4,15.8,43.65955743,-79.43628284
17,Alternative Scarborough Education 1,15,86.7,0.0,100.0,0.0,43.76664525,-79.25479628
18,Alvin Curling P.S.,383,94.5,1.8,95.8,1.8,43.80849215,-79.19063359999998
19,Amesbury Middle School,268,92.2,1.1,95.9,1.1,43.70869774,-79.49401438
20,Ancaster P.S.,57,89.5,0.0,91.2,0.0,43.73286617,-79.46699263
21,Annette Street Jr & Sr P.S.,384,92.2,2.3,95.3,2.3,43.66142319,-79.47283128
22,Annunciation C.S.,253,87.0,2.0,89.7,2.0,43.75335089,-79.32126782
23,Anson Park P.S.,162,92.6,0.6,93.2,0.6,43.72620958,-79.24128759999999
24,Anson S Taylor Jr P.S.,122,100.0,0.0,100.0,0.0,43.80429198,-79.26156134
25,Arbor Glen P.S.,185,97.3,1.1,96.2,1.1,43.80948639,-79.35570944
26,Armour Heights P.S.,179,95.5,2.8,95.0,2.8,43.74091004,-79.41952228
27,Avondale Alternative Elementary,94,90.4,6.4,92.6,6.4,43.76021084,-79.40015609
28,Avondale P.S.,221,93.7,1.4,91.4,1.4,43.77649346,-79.38518674
29,Avondale Secondary Alternative,37,73.0,2.7,89.2,2.7,43.78630651,-79.41184315
30,Bala Avenue Community School,129,97.7,0.0,97.7,0.0,43.68946222,-79.49901227
31,Balmy Beach Community School,252,96.0,2.8,96.8,2.8,43.67643592,-79.28982694
32,Banting and Best P.S.,218,96.8,0.0,97.2,0.0,43.82666428,-79.28015052
33,Baycrest P.S.,81,87.7,8.6,85.2,8.6,43.72660578,-79.44425151
34,Bayview Middle School,443,94.6,0.5,95.0,0.5,43.77649346,-79.38518674
35,Beaches Alternative Jr,44,79.5,18.2,81.8,18.2,43.68261997,-79.29912788
36,Beaumonde Heights JMS,430,95.6,0.7,95.6,0.7,43.74295714,-79.57553054
37,Bedford Park P.S.,534,95.5,2.2,97.0,2.2,43.7278547,-79.40002762
38,Bellmere Jr P.S.,237,96.2,1.3,95.4,1.3,43.77196929,-79.23514688
39,Ben Heppner Vocal Music Academy,45,84.4,11.1,82.2,11.1,43.77515588,-79.21506873
40,Bendale Business & Technical Institute,285,84.2,2.8,96.5,2.8,43.75533976,-79.26474309
41,Bendale Jr P.S.,238,99.2,0.0,98.3,0.0,43.76256712,-79.24488026
